timestamp,api_replicas,app_replicas,db_replicas
2026-04-28T04:06:49+00:00,2.0,2.0,1.0
2026-04-28T04:07:04+00:00,2.0,3.0,1.0
2026-04-28T04:07:19+00:00,2.0,3.0,1.0
2026-04-28T04:07:34+00:00,3.0,4.0,1.0
2026-04-28T04:07:49+00:00,3.0,4.0,1.0
2026-04-28T04:08:04+00:00,3.0,5.0,1.0
2026-04-28T04:08:19+00:00,3.0,5.0,1.0
2026-04-28T04:08:34+00:00,3.0,5.0,1.0
2026-04-28T04:08:49+00:00,3.0,5.0,1.0
2026-04-28T04:09:04+00:00,2.0,4.0,1.0
2026-04-28T04:09:19+00:00,2.0,4.0,1.0
2026-04-28T04:09:34+00:00,1.0,3.0,1.0
2026-04-28T04:09:49+00:00,1.0,3.0,1.0
