timestamp,api_replicas,app_replicas,db_replicas
2026-04-28T04:03:08+00:00,1.0,1.0,1.0
2026-04-28T04:03:23+00:00,1.0,1.0,1.0
2026-04-28T04:03:38+00:00,1.0,1.0,1.0
2026-04-28T04:03:53+00:00,1.0,1.0,1.0
2026-04-28T04:04:08+00:00,1.0,1.0,1.0
2026-04-28T04:04:23+00:00,1.0,1.0,1.0
2026-04-28T04:04:38+00:00,1.0,1.0,1.0
2026-04-28T04:04:53+00:00,1.0,1.0,1.0
2026-04-28T04:05:08+00:00,1.0,1.0,1.0
2026-04-28T04:05:23+00:00,1.0,1.0,1.0
2026-04-28T04:05:38+00:00,1.0,1.0,1.0
2026-04-28T04:05:53+00:00,1.0,1.0,1.0
2026-04-28T04:06:08+00:00,1.0,1.0,1.0
