timestamp,api_replicas,app_replicas,db_replicas
2026-02-18T11:18:39+00:00,1.0,1.0,1.0
2026-02-18T11:18:54+00:00,2.0,1.0,1.0
2026-02-18T11:19:09+00:00,2.0,1.0,1.0
2026-02-18T11:19:24+00:00,3.0,1.0,1.0
2026-02-18T11:19:39+00:00,3.0,1.0,1.0
2026-02-18T11:19:54+00:00,4.0,1.0,1.0
2026-02-18T11:20:09+00:00,4.0,1.0,1.0
2026-02-18T11:20:24+00:00,5.0,1.0,1.0
2026-02-18T11:20:39+00:00,5.0,1.0,1.0
2026-02-18T11:20:54+00:00,5.0,1.0,1.0
2026-02-18T11:21:09+00:00,5.0,1.0,1.0
2026-02-18T11:21:24+00:00,5.0,1.0,1.0
2026-02-18T11:21:39+00:00,5.0,1.0,1.0
2026-02-18T11:21:54+00:00,5.0,1.0,1.0
2026-02-18T11:22:09+00:00,5.0,1.0,1.0
2026-02-18T11:22:24+00:00,5.0,1.0,1.0
2026-02-18T11:22:39+00:00,5.0,1.0,1.0
2026-02-18T11:22:54+00:00,5.0,1.0,1.0
2026-02-18T11:23:09+00:00,5.0,1.0,1.0
2026-02-18T11:23:24+00:00,5.0,1.0,1.0
2026-02-18T11:23:39+00:00,5.0,1.0,1.0
2026-02-18T11:23:54+00:00,4.0,1.0,1.0
2026-02-18T11:24:09+00:00,4.0,1.0,1.0
2026-02-18T11:24:24+00:00,4.0,1.0,1.0
2026-02-18T11:24:39+00:00,4.0,1.0,1.0
2026-02-18T11:24:54+00:00,4.0,1.0,1.0
2026-02-18T11:25:09+00:00,4.0,1.0,1.0
2026-02-18T11:25:24+00:00,5.0,1.0,1.0
2026-02-18T11:25:39+00:00,5.0,1.0,1.0
2026-02-18T11:25:54+00:00,5.0,1.0,1.0
2026-02-18T11:26:09+00:00,5.0,1.0,1.0
2026-02-18T11:26:24+00:00,5.0,1.0,1.0
2026-02-18T11:26:39+00:00,5.0,1.0,1.0
2026-02-18T11:26:54+00:00,4.0,1.0,1.0
2026-02-18T11:27:09+00:00,4.0,1.0,1.0
2026-02-18T11:27:24+00:00,4.0,1.0,1.0
2026-02-18T11:27:39+00:00,4.0,1.0,1.0
2026-02-18T11:27:54+00:00,5.0,1.0,1.0
2026-02-18T11:28:09+00:00,5.0,1.0,1.0
2026-02-18T11:28:24+00:00,4.0,1.0,1.0
2026-02-18T11:28:39+00:00,4.0,1.0,1.0
2026-02-18T11:28:54+00:00,4.0,1.0,1.0
2026-02-18T11:29:09+00:00,4.0,1.0,1.0
2026-02-18T11:29:24+00:00,5.0,1.0,1.0
2026-02-18T11:29:39+00:00,5.0,1.0,1.0
2026-02-18T11:29:54+00:00,5.0,1.0,1.0
2026-02-18T11:30:09+00:00,5.0,1.0,1.0
